# recorded: Tue Jun  9 13:40:02 2020
# sweep_type: iv
# Voltage [V]	Current [A]
-1.200000000000000000e+02	-4.687379999999999834e-05
-1.190000000000000000e+02	-4.517610000000000272e-05
-1.180000000000000000e+02	-4.551550000000000154e-05
-1.170000000000000000e+02	-4.458729999999999915e-05
-1.160000000000000000e+02	-4.331609999999999681e-05
-1.150000000000000000e+02	-4.348160000000000057e-05
-1.140000000000000000e+02	-4.351189999999999924e-05
-1.130000000000000000e+02	-4.377020000000000319e-05
-1.120000000000000000e+02	-4.429240000000000304e-05
-1.110000000000000000e+02	-4.462560000000000181e-05
