# recorded: Tue Jun  9 13:40:19 2020
# sweep_type: iv
# Voltage [V]	Current [A]
-1.300000000000000000e+02	-6.351750000000000299e-05
-1.290000000000000000e+02	-6.013799999999999918e-05
-1.280000000000000000e+02	-6.160679999999999434e-05
-1.270000000000000000e+02	-6.106629999999999502e-05
-1.260000000000000000e+02	-6.087249999999999698e-05
-1.250000000000000000e+02	-6.083619999999999870e-05
-1.240000000000000000e+02	-6.144989999999999589e-05
-1.230000000000000000e+02	-6.190579999999999943e-05
-1.220000000000000000e+02	-6.183010000000000285e-05
-1.210000000000000000e+02	-6.132310000000000246e-05
