# recorded: Tue Jun  9 16:39:02 2020
# sweep_type: iv
# Voltage [V]	Current [A]
2.000000000000000000e+01	1.310240000000000012e-05
2.100000000000000000e+01	1.347589999999999917e-05
2.200000000000000000e+01	1.399890000000000077e-05
2.300000000000000000e+01	1.457910000000000073e-05
2.400000000000000000e+01	1.518179999999999922e-05
2.500000000000000000e+01	1.578969999999999893e-05
2.600000000000000000e+01	1.641480000000000079e-05
2.700000000000000000e+01	1.705110000000000011e-05
2.800000000000000000e+01	1.769959999999999906e-05
2.900000000000000000e+01	1.834879999999999956e-05
3.000000000000000000e+01	1.900160000000000117e-05
3.100000000000000000e+01	1.964440000000000118e-05
3.200000000000000000e+01	2.027389999999999913e-05
3.300000000000000000e+01	2.088919999999999983e-05
3.400000000000000000e+01	2.148389999999999941e-05
3.500000000000000000e+01	2.205660000000000156e-05
3.600000000000000000e+01	2.260770000000000040e-05
3.700000000000000000e+01	2.312860000000000079e-05
3.800000000000000000e+01	2.362130000000000032e-05
3.900000000000000000e+01	2.408690000000000142e-05
4.000000000000000000e+01	2.452339999999999970e-05
4.100000000000000000e+01	2.493419999999999922e-05
4.200000000000000000e+01	2.531480000000000028e-05
4.300000000000000000e+01	2.567200000000000086e-05
4.400000000000000000e+01	2.601940000000000028e-05
4.500000000000000000e+01	2.634890000000000111e-05
4.600000000000000000e+01	2.665500000000000145e-05
4.700000000000000000e+01	2.695179999999999833e-05
4.800000000000000000e+01	2.724990000000000146e-05
4.900000000000000000e+01	2.754849999999999891e-05
5.000000000000000000e+01	2.786389999999999931e-05
5.100000000000000000e+01	2.816339999999999873e-05
5.200000000000000000e+01	2.845180000000000091e-05
5.300000000000000000e+01	2.874729999999999834e-05
5.400000000000000000e+01	2.903699999999999999e-05
5.500000000000000000e+01	2.931489999999999948e-05
5.600000000000000000e+01	2.957889999999999898e-05
5.700000000000000000e+01	2.982100000000000129e-05
5.800000000000000000e+01	3.004219999999999842e-05
5.900000000000000000e+01	3.023510000000000127e-05
