# recorded: Tue Jun  9 13:37:13 2020
# sweep_type: iv
# Voltage [V]	Current [A]
-1.000000000000000000e+02	-1.727860000000000089e-05
-9.900000000000000000e+01	-1.684829999999999927e-05
-9.800000000000000000e+01	-1.682049999999999930e-05
-9.700000000000000000e+01	-1.683330000000000026e-05
-9.600000000000000000e+01	-1.696170000000000059e-05
-9.500000000000000000e+01	-1.650339999999999856e-05
-9.400000000000000000e+01	-1.637259999999999974e-05
-9.300000000000000000e+01	-1.604809999999999971e-05
-9.200000000000000000e+01	-1.579589999999999898e-05
-9.100000000000000000e+01	-1.567069999999999889e-05
-9.000000000000000000e+01	-1.538420000000000087e-05
-8.900000000000000000e+01	-1.518259999999999928e-05
-8.800000000000000000e+01	-1.487129999999999939e-05
-8.700000000000000000e+01	-1.444859999999999919e-05
-8.600000000000000000e+01	-1.445000000000000056e-05
-8.500000000000000000e+01	-1.464409999999999926e-05
-8.400000000000000000e+01	-1.449119999999999942e-05
-8.300000000000000000e+01	-1.436909999999999936e-05
-8.200000000000000000e+01	-1.425050000000000019e-05
-8.100000000000000000e+01	-1.402539999999999958e-05
