# recorded: Tue Jun  9 13:40:40 2020
# sweep_type: iv
# Voltage [V]	Current [A]
-1.500000000000000000e+02	-9.637840000000000545e-05
-1.490000000000000000e+02	-9.842809999999999363e-05
-1.480000000000000000e+02	-9.700479999999999661e-05
-1.470000000000000000e+02	-9.734430000000000242e-05
-1.460000000000000000e+02	-9.702549999999999456e-05
-1.450000000000000000e+02	-9.748550000000000032e-05
-1.440000000000000000e+02	-9.863900000000000207e-05
-1.430000000000000000e+02	-1.013160000000000037e-04
-1.420000000000000000e+02	-1.016740000000000027e-04
-1.410000000000000000e+02	-1.020059999999999988e-04
-1.400000000000000000e+02	-1.017920000000000039e-04
-1.390000000000000000e+02	-1.020099999999999940e-04
-1.380000000000000000e+02	-1.031359999999999965e-04
-1.370000000000000000e+02	-1.033389999999999943e-04
-1.360000000000000000e+02	-1.046579999999999998e-04
-1.350000000000000000e+02	-1.056480000000000022e-04
-1.340000000000000000e+02	-1.058859999999999955e-04
-1.330000000000000000e+02	-1.061589999999999978e-04
-1.320000000000000000e+02	-1.071010000000000034e-04
-1.310000000000000000e+02	-1.077089999999999948e-04
