# recorded: Tue May  5 14:47:01 2020
# sweep_type: iv
# Voltage [V]	Current [A]
-2.000000000000000000e+01	-2.283250000000000123e-03
-1.900000000000000000e+01	-2.013410000000000200e-03
-1.800000000000000000e+01	-1.766699999999999954e-03
-1.700000000000000000e+01	-1.536140000000000075e-03
-1.600000000000000000e+01	-1.325039999999999985e-03
-1.500000000000000000e+01	-1.127879999999999942e-03
-1.400000000000000000e+01	-9.472769999999999498e-04
-1.300000000000000000e+01	-7.788190000000000390e-04
-1.200000000000000000e+01	-6.245089999999999799e-04
-1.100000000000000000e+01	-4.862970000000000096e-04
-1.000000000000000000e+01	-3.642110000000000269e-04
-9.000000000000000000e+00	-2.591529999999999767e-04
-8.000000000000000000e+00	-1.722600000000000075e-04
-7.000000000000000000e+00	-1.034160000000000005e-04
-6.000000000000000000e+00	-5.336160000000000084e-05
-5.000000000000000000e+00	-2.042529999999999907e-05
-4.000000000000000000e+00	-4.626309999999999926e-06
-3.000000000000000000e+00	-3.883460000000000021e-07
-2.000000000000000000e+00	-3.353409999999999983e-08
-1.000000000000000000e+00	-1.667350000000000038e-08
0.000000000000000000e+00	1.946459999999999914e-09
1.000000000000000000e+00	2.260950000000000139e-08
2.000000000000000000e+00	4.257950000000000087e-08
3.000000000000000000e+00	6.244110000000000185e-08
4.000000000000000000e+00	8.421239999999999511e-08
5.000000000000000000e+00	1.073500000000000050e-07
6.000000000000000000e+00	1.340870000000000015e-07
7.000000000000000000e+00	1.641580000000000066e-07
8.000000000000000000e+00	1.998790000000000126e-07
9.000000000000000000e+00	2.433619999999999791e-07
1.000000000000000000e+01	2.906990000000000013e-07
1.100000000000000000e+01	3.375479999999999995e-07
1.200000000000000000e+01	3.819790000000000087e-07
1.300000000000000000e+01	4.256180000000000198e-07
1.400000000000000000e+01	4.664390000000000119e-07
1.500000000000000000e+01	5.062040000000000242e-07
1.600000000000000000e+01	5.459889999999999533e-07
1.700000000000000000e+01	5.856929999999999758e-07
1.800000000000000000e+01	6.261760000000000082e-07
1.900000000000000000e+01	6.691130000000000174e-07
