# recorded: Tue Jun  9 13:36:59 2020
# sweep_type: iv
# Voltage [V]	Current [A]
-9.000000000000000000e+01	-1.592899999999999945e-05
-8.900000000000000000e+01	-1.497290000000000025e-05
-8.800000000000000000e+01	-1.420999999999999947e-05
-8.700000000000000000e+01	-1.401260000000000031e-05
-8.600000000000000000e+01	-1.400940000000000007e-05
-8.500000000000000000e+01	-1.391080000000000071e-05
-8.400000000000000000e+01	-1.358460000000000035e-05
-8.300000000000000000e+01	-1.368670000000000060e-05
-8.200000000000000000e+01	-1.369810000000000019e-05
-8.100000000000000000e+01	-1.380420000000000075e-05
