# recorded: Tue May  5 14:49:02 2020
# sweep_type: iv
# Voltage [V]	Current [A]
-2.000000000000000000e+01	-1.531589999999999991e-03
-1.900000000000000000e+01	-1.353950000000000032e-03
-1.800000000000000000e+01	-1.183919999999999981e-03
-1.700000000000000000e+01	-1.023140000000000074e-03
-1.600000000000000000e+01	-8.778660000000000413e-04
-1.500000000000000000e+01	-7.417790000000000277e-04
-1.400000000000000000e+01	-6.159759999999999585e-04
-1.300000000000000000e+01	-5.010989999999999672e-04
-1.200000000000000000e+01	-3.982689999999999776e-04
-1.100000000000000000e+01	-3.061550000000000122e-04
-1.000000000000000000e+01	-2.258440000000000013e-04
-9.000000000000000000e+00	-1.581700000000000120e-04
-8.000000000000000000e+00	-1.027730000000000001e-04
-7.000000000000000000e+00	-5.971650000000000330e-05
-6.000000000000000000e+00	-2.835199999999999892e-05
-5.000000000000000000e+00	-9.311430000000000734e-06
-4.000000000000000000e+00	-2.168459999999999818e-06
-3.000000000000000000e+00	-2.349949999999999943e-07
-2.000000000000000000e+00	-2.659819999999999858e-08
-1.000000000000000000e+00	-1.263589999999999935e-08
0.000000000000000000e+00	1.029999999999999959e-09
1.000000000000000000e+00	1.554340000000000073e-08
2.000000000000000000e+00	3.071820000000000173e-08
3.000000000000000000e+00	4.641599999999999688e-08
4.000000000000000000e+00	6.290729999999999844e-08
5.000000000000000000e+00	8.042740000000000456e-08
6.000000000000000000e+00	9.998010000000000467e-08
7.000000000000000000e+00	1.244849999999999927e-07
8.000000000000000000e+00	1.515500000000000038e-07
9.000000000000000000e+00	1.807730000000000002e-07
1.000000000000000000e+01	2.097930000000000046e-07
1.100000000000000000e+01	2.355299999999999921e-07
1.200000000000000000e+01	2.622230000000000049e-07
1.300000000000000000e+01	2.853160000000000119e-07
1.400000000000000000e+01	3.102380000000000017e-07
1.500000000000000000e+01	3.330599999999999926e-07
1.600000000000000000e+01	3.551270000000000009e-07
1.700000000000000000e+01	3.782459999999999844e-07
1.800000000000000000e+01	3.994939999999999905e-07
1.900000000000000000e+01	4.226379999999999759e-07
